id,nombre,escudo_url
1,River,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/CA_River_Plate_logo.png/120px-CA_River_Plate_logo.png
2,Boca,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Boca_Juniors_logo.png/120px-Boca_Juniors_logo.png
3,Independiente,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Club_Atletico_Independiente_logo.png/120px-Club_Atletico_Independiente_logo.png
4,Racing,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Racing_Club_Logo.png/120px-Racing_Club_Logo.png
